3a: Find hourly (24 hours) and monthly (12 months) counts of collision using CUBE based OLAP query

+----+-----+---------------+
|HOUR|MONTH|COLLISION_COUNT|
|19  |9    |881            |
|19  |10   |1123           |
|19  |11   |1007           |
|19  |12   |1029           |
|20  |1    |692            |
|20  |2    |692            |
|20  |3    |777            |
|20  |4    |763            |
|20  |5    |767            |
|20  |6    |812            |
|20  |7    |746            |
|20  |8    |778            |
|20  |9    |837            |
|20  |10   |861            |
|20  |11   |832            |
|20  |12   |853            |
|21  |1    |535            |
|21  |2    |484            |
|21  |3    |649            |
|21  |4    |669            |
|21  |5    |696            |
|21  |6    |702            |
|21  |7    |749            |
|21  |8    |720            |
|21  |9    |751            |
|21  |10   |661            |
|21  |11   |680            |
|21  |12   |656            |
|22  |1    |496            |
|22  |2    |491            |
|22  |3    |558            |
|22  |4    |574            |
|22  |5    |685            |
|22  |6    |698            |
|22  |7    |672            |
|22  |8    |653            |
|22  |9    |648            |
|22  |10   |629            |
|22  |11   |619            |
|22  |12   |595            |
|23  |1    |397            |
|23  |2    |375            |
|23  |3    |458            |
|23  |4    |460            |
|23  |5    |585            |
|23  |6    |583            |
|23  |7    |588            |
|23  |8    |547            |
|23  |9    |493            |
|23  |10   |475            |
|23  |11   |430            |
|23  |12   |502            |
+----+-----+---------------+
